url_chanson,paroles_chanson,titre_chanson,nom_chanson,pages_chanson,nom_artiste,nom_artiste.s,url_photo
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-apologie.html,    Fume l'herbe tendre Il ne faut plus attendre Sais-tu faire des ronds de fumées Sauras-tu me faire oublier  Que je suis en captivité À peine à deux doigts d'étouffer Merci de ne pas réprimer Ce long sanglot envisagé D'oublier les banalités Tout Tu verras le ciel Tu verras le ciel Tu verras le ciel Et des caravelles qui ont des messages Qu'on est depuis la plage Tu verras le sort S'éloigner du sol Et tomber la neige  Depuis la forêt vierge  Mille apologies Pour l'apologie Mille apologies Pour l'apologie                 ,L'apologie,L'apologie,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-appat.html,"    C'est pas qu'on soit des lâches  Mais tout nous rebute  On est sobres à la tâche  Mais on exécute  C'est pas qu'on soit des cloches  Mais toutes ces caresses  Pour mieux nous faire les poches  Nous tenir en laisse  Ça nous froisse  Ils troquent, ils croquent Coke et Crack  Ils bronzent, on brûle, ils sont botoxés  Bas les masques  C'est simple comme un coup de fax  Il pleut, il pleut sur moi  Je veux rentrer chez moi  J'ai pas d'argent sur moi  La rue n'en finit pas  Il pleut, il pleut sur moi  Je veux rentrer chez moi  Mais voilà  On me suit pas à pas  Ce soir je suis la proie  L'appât                 ",L'appât,L'appât,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-arizona.html,   N'oubliez pas le manuel Payer la chambre du motel Apprêtez-vous à voir le ciel Soyez ni faible ni cruel Ça ressemble à l'Arizona Aucun de nous n'en reviendra Vivant Avez-vous toujours peur du noir Qui voyez-vous dans le miroir Avez-vous eu votre heure de gloire Que gardera de vous l'histoire Ça ressemble à l'Arizona Et chacun de nous y fera Son temps         ,L'arizona,L'arizona,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-eau-claire-des-fontaines.html,"   l'eau claire des fontaines est faite des larmes  de tous ces gens qui saignent  mais qui s'éloignent l'eau claire des fontaines est faite des larmes  de tous ces gens qui saignent  mais qui s'acharnent puis qui s'écharnent, charme bras en écharpe on observe le futur cornu qui se tire le portrait d'un néant tendu rendez vous dans presque dix-huit mois repartir à zéro, peut être à trois on regarde le remoud si calme  indicible à l'échelle de l'âme et on songe à reprendre la came vux pieux, vux d'épure, dernières larmes dernières flammes, dernières larmes tout est si calme pas assez profond pour s'y baigner pas assez profond pour s'y noyer pas assez profond pour s'y baigner pas assez profond pour s'y noyer l'eau claire des fontaines est faite des larmes  de tous ces gens qui saignent  mais qui s'éloignent l'eau claire des fontaines est faite des larmes  de tous ces gens qui saignent  puis qui s'acharnent puis qui s'écharnent, charme bras en écharpe charme                 ",L'eau Claire Des Fontaines,L'eau Claire Des Fontaines,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-espoir-fait-vivre.html,"   Avant nos retrouvailles,avant le tapis persan Combien de temps  Avant les represailles,avant le grand bain de sang  L'espoir fait vivre  L'espoir fait vivre  L'espoir fait vivre  L'espoir fait vivre  Vivre d'espoir  Vivre d'espoir  Fait vivre  Vivre d'espoir  Vivre d'espoir  Fait vivre  Combien de temps  Avant l'amour supreme et l'admiration des gens  Combien de temps Avant qu'on soit nous meme Avant que ce ne soit degradant  Combien de temps  Avant que tu reviennes,avant que ce ne soit debandant  Combien de temps  Combien de temps                 ",L'espoir Fait Vivre,L'espoir Fait Vivre,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-histoire-d-un-garcon.html,"   Le truand ou la brute,  La musique de chambre,  Cet insupportable truc Né de lèvres ou la langue Si jamais je suis l'un de vous,  Je ne serai pas un atout, du tout Non Est le premier mot que j'ai su,  Quand j'ai vu que j'étais un garçon Et que ma mère était déçue Et que mes cheveux n'étaient pas blonds Et quand je me suis aperçu Que ce n'était pas ma vraie maison,  Je suis passé inaperçu,  Ecoutez l'histoire d'un garçon Non Est le premier mot que j'ai su,  Quand j'ai vu que j'étais un garçon Et que ma mère était déçue Et que mes cheveux n'étaient pas blonds,  Le monde entier m'a fait cocu Mais il ne fait pas illusion,  Les vendus seront répandus,  Ecoutez l'histoire d'un garçon,  L'histoire d'un garçon,  L'histoire d'un garçon.                 ",L'histoire D'un Garçon,L'histoire D'un Garçon,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-homme-de-ma-vie.html,"   C'est pas toi Faut croire L'homme de ma vie sur la balancelle Il peut me pousser jusqu'au ciel Il peut me bercer jusqu'au soir C'est pas toi  C'est pas toi Faut voir Car l'homme de ma vie dans ton miroir Tu peux le croiser Tous les soirs Oui, l'homme de ma vie lorque je m'égare Il vient me chercher dans le noir C'est pas toi  C'est pas toi Faut voir                 ",L'homme De Ma Vie,L'homme De Ma Vie,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-insigne-honneur.html,"   toujours beau et rasé de près. Le roi n'est plus car le roi est nu, cette légèreté je l'ai perdue. Tu n'auras plus jamais à m'attendre sur la pavé dru,comme une conne. Tu n'auras plus,oui,plus qu'à t’étendre démaquillée,nue,comme une lionne. Oui,je t'assure,je peux tout entendre, je peux tout comprendre. Je te jure je peux tout reprendre, ou bien faire des noeuds pour me pendre. Mais fais-moi l'honneur,fais-moi l'insigne honneur. Dès l'aube,dès l'aurore fais-moi l'insigne honneur de la quitter de bonne heure,sans after et sans fleur.                 ",L'insigne Honneur,L'insigne Honneur,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-observatoire.html,    Dans la plaine Il y a le temps qui nous enchaîne A nos douleurs et à nos peines Déçu de nos desseins obscènes Mais sur l'autre rive Les plaisanciers les badauds ivres De bonheur en définitive Pas un radeau qui ne dérive Si en apparence il fait beau Sous la glace il n'y a plus d'eau Peu de soleil et pas d'espoir Depuis l'observatoire                 ,L'observatoire,L'observatoire,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-la-ballade-du-mois-de-juin.html,   Beau mois de juin Si j'avais su Si j'avais pu En rester là Ne le dis plus Ne sois pas déçu Je n'ai pas baissé les bras Mes deux mains cachaient ma figure Quand j'ai gâché notre proche futur Quand j'ai foncé vers la mer en voiture Défoncée A l'arrière j'avais ma guitare Mon laisser-passer et trois tonnes de cafard Quand j'ai heurté de plein fouet Les pleins phares La jetée Si je me souviens La balade était bien Si je me souviens C'était au mois de juin Au mois de juin Beau mois de juin                 ,La Ballade Du Mois De Juin,La Ballade Du Mois De Juin,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-la-chambre-d-amis.html,"   Deux vieux clichés jaunis, des films interdits Aux moins de 18 ans et des dessins d'enfants Les rideaux mi-clos, immobiles, 3 heures pile Dans La Chambre D'amis, je suis cet ennemi Qui dort au purgatoire, à gauche du couloir Dans La Chambre D'amis, de thèse en théorie Je sais que j'ai tout faux, je m'endors sur le dos Dans La Chambre D'amis, je recevrai des filles Partenaires de dépit, de beaux oiseaux de nuit Dans la chambre d'amants, j'irai de temps en temps Mais le matin qui suit, jeté du paradis Je reprendrai mes billes, ma montre Bulgari Et reviendrai ici, dans La Chambre D'amis                 ",La Chambre D'amis,La Chambre D'amis,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-la-chanson-du-faussaire.html,"   Hier on contait fleurette à la cousine Mais trois secondes après  On pleure les vestiges d'un passé qu'on aimait Mon ballon de cuir sur le mur j'envoyais De ??? je rêvais En moins de temps qu'il ne faut pour le dire Je ne rêvais que de revenir [Charles Trenet] Lorsque je me trouvais à Marseille le samedi soir en permission lorsque j'étais soldat, j'allais chanter dans un petit bar cabaret qui s'appelait ""La Mélodie Tyrolienne"" et qui était situé dans les sous sol du grand hôtel de Marseille. Et là après la représentation je ne restais pas là, j'allais au grand café. Au grand café qui appartenait également au directeur de la Mélodie Tyrolienne et ce grand café m'enchantait car il était à la fois poétique et très amusant."" Tu es revenue de si loin me chercher C'est passé si vite, c'est si vite passé Ma canne mon chapeau et la note Le disque était trop court, quelques notes                 ",La chanson du faussaire,La chanson du faussaire,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-la-debandade.html,"   Bientôt le plus tard mon coeur Bientôt le plus tard ma douce Ni diable au corps Ni la moindre secousse Que ma joie demeure Que ces mains me poussent J'ai connu le grand amour, grand amour quelques fois Mais si souvent le petit jour s’allonger sur les toits de Paris Fait des affaire, eu mon chemin de croix J'ai dit ""jamais"", j'ai dit ""toujours"" J'ai dit ""Va t'en"", ""Reviens"" un jour La chamade Rhum en rasade Tuiles en cascade La débandade Bientôt le plus tard ma douce Bientôt le plus tard mon coeur Je mettrai les voiles Et les vapeurs Je vais finir à poil A même le coeur Bientôt le plus tard j'espère Bientôt le plus tard j'espère Je ferai le vide Les yeux dans le vague Cette chanson lucide C'est la débandade                 ",La Débandade,La Débandade,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
