CODGEO,NOM_COMM,STATUT,POPULATION,superficie_ha,x_ctr,y_ctr,id
54234,GORCY,Commune simple,2580,417.171284999791,894274.053713344,6940723.7367392,8470
54382,MONT-SAINT-MARTIN,Commune simple,7946,870.287453499612,901152.626718164,6942140.42288096,8471
50057,BIVILLE,Commune simple,570,892.340477499148,352370.727233768,6956765.03836677,8522
50294,MARTINVAST,Commune simple,1228,1025.51766599886,364039.02593194,6954241.7491206,8523
50129,CHERBOURG-EN-COTENTIN,Sous-préfecture,80978,6843.42845649584,366148.959681152,6957876.93997525,8524
50539,SAINT-PIERRE-EGLISE,Commune simple,1747,824.302518999364,382476.080302113,6961118.59584269,8525
50562,SAINT-VAAST-LA-HOUGUE,Commune simple,1896,633.236960999877,391108.752313757,6952899.64366667,8526
76595,SAINT-JOUIN-BRUNEVAL,Commune simple,1891,1983.3061154989,496099.254783558,6952508.92368184,8535
76302,GODERVILLE,Commune simple,2788,791.294104999651,508895.057529,6952700.88222718,8536
76342,HATTENVILLE,Commune simple,693,934.756909999324,522138.128295167,6953303.82297088,8537
76258,FAUVILLE-EN-CAUX,Commune simple,2198,815.222569999473,525510.310505387,6953519.47790793,8538
76219,DOUDEVILLE,Commune simple,2552,1481.47414599916,540367.4740631,6961249.75029684,8539
76752,YERVILLE,Commune simple,2447,1052.70668499909,547345.983648605,6954468.89920598,8540
76034,AUFFAY,Commune simple,1885,1113.11659949937,563848.58413655,6958623.29768757,8541
76648,SAINT-SAENS,Commune simple,2541,2587.69390449835,575604.644048328,6954173.83637813,8542
76462,NEUFCHATEL-EN-BRAY,Commune simple,4794,1110.392121499,587923.629354907,6961184.68659942,8543
76295,GAILLEFONTAINE,Commune simple,1248,2677.10580199907,600783.948691683,6951781.43845777,8544
76199,CRIQUIERS,Commune simple,664,2281.21369949866,606252.087702548,6953771.12419048,8545
60286,GRANDVILLIERS,Commune simple,3000,654.754969499668,623070.145400564,6952416.12061278,8546
80630,POIX-DE-PICARDIE,Commune simple,2395,1170.71445599928,626410.293329209,6961423.34401796,8547
60082,BONNEUIL-LES-EAUX,Commune simple,821,1841.26905049923,645372.915441338,6953752.12181135,8548
80010,AILLY-SUR-NOYE,Commune simple,2881,2541.28707899797,652876.517247591,6961082.15385744,8549
