id,x_ctr,y_ctr
443,585872.127700178,6104693.92086553
444,597227.827389151,6104693.92086553
445,608583.527078123,6104693.92086553
446,619939.226767096,6104693.92086553
447,631294.926456068,6104693.92086553
448,642650.626145041,6104693.92086553
449,654006.325834014,6104693.92086553
450,665362.025522986,6104693.92086553
451,676717.725211959,6104693.92086553
452,688073.424900931,6104693.92086553
453,699429.124589904,6104693.92086553
454,710784.824278876,6104693.92086553
455,722140.523967849,6104693.92086553
456,733496.223656821,6104693.92086553
457,744851.923345794,6104693.92086553
458,756207.623034766,6104693.92086553
459,767563.322723739,6104693.92086553
460,778919.022412711,6104693.92086553
461,790274.722101684,6104693.92086553
462,801630.421790656,6104693.92086553
463,812986.121479629,6104693.92086553
464,824341.821168602,6104693.92086553
465,835697.520857574,6104693.92086553
466,847053.220546547,6104693.92086553
467,858408.920235519,6104693.92086553
468,869764.619924492,6104693.92086553
469,881120.319613464,6104693.92086553
470,892476.019302437,6104693.92086553
471,903831.718991409,6104693.92086553
472,915187.418680382,6104693.92086553
473,926543.118369354,6104693.92086553
474,937898.818058327,6104693.92086553
475,949254.517747299,6104693.92086553
476,960610.217436272,6104693.92086553
477,971965.917125244,6104693.92086553
478,983321.616814217,6104693.92086553
479,994677.316503189,6104693.92086553
480,1006033.01619216,6104693.92086553
481,1017388.71588113,6104693.92086553
482,1028744.41557011,6104693.92086553
483,1040100.11525908,6104693.92086553
484,1051455.81494805,6104693.92086553
485,1062811.51463702,6104693.92086553
486,1074167.214326,6104693.92086553
487,1085522.91401497,6104693.92086553
488,1096878.61370394,6104693.92086553
489,1108234.31339291,6104693.92086553
490,1119590.01308189,6104693.92086553
491,1130945.71277086,6104693.92086553
492,1142301.41245983,6104693.92086553
493,1153657.1121488,6104693.92086553
494,1165012.81183778,6104693.92086553
495,1176368.51152675,6104693.92086553
496,1187724.21121572,6104693.92086553
497,1199079.91090469,6104693.92086553
498,1210435.61059367,6104693.92086553
499,1221791.31028264,6104693.92086553
500,1233147.00997161,6104693.92086553
501,108932.740763332,6115207.04951201
502,120288.440452305,6115207.04951201
503,131644.140141277,6115207.04951201
504,142999.83983025,6115207.04951201
505,154355.539519222,6115207.04951201
506,165711.239208195,6115207.04951201
507,177066.938897168,6115207.04951201
508,188422.63858614,6115207.04951201
509,199778.338275113,6115207.04951201
510,211134.037964085,6115207.04951201
511,222489.737653058,6115207.04951201
512,233845.43734203,6115207.04951201
513,245201.137031003,6115207.04951201
514,256556.836719975,6115207.04951201
515,267912.536408948,6115207.04951201
516,279268.23609792,6115207.04951201
517,290623.935786893,6115207.04951201
518,301979.635475865,6115207.04951201
519,313335.335164838,6115207.04951201
520,324691.03485381,6115207.04951201
521,336046.734542783,6115207.04951201
522,347402.434231755,6115207.04951201
523,358758.133920728,6115207.04951201
524,370113.8336097,6115207.04951201
525,381469.533298673,6115207.04951201
526,392825.232987646,6115207.04951201
527,404180.932676618,6115207.04951201
528,415536.632365591,6115207.04951201
529,426892.332054563,6115207.04951201
530,438248.031743536,6115207.04951201
531,449603.731432508,6115207.04951201
532,460959.431121481,6115207.04951201
533,472315.130810453,6115207.04951201
534,483670.830499426,6115207.04951201
535,495026.530188398,6115207.04951201
536,506382.229877371,6115207.04951201
537,517737.929566343,6115207.04951201
538,529093.629255316,6115207.04951201
539,540449.328944288,6115207.04951201
540,551805.028633261,6115207.04951201
541,563160.728322233,6115207.04951201
542,574516.428011206,6115207.04951201
543,585872.127700178,6115207.04951201
544,597227.827389151,6115207.04951201
545,608583.527078123,6115207.04951201
546,619939.226767096,6115207.04951201
547,631294.926456068,6115207.04951201
548,642650.626145041,6115207.04951201
549,654006.325834014,6115207.04951201
550,665362.025522986,6115207.04951201
551,676717.725211959,6115207.04951201
552,688073.424900931,6115207.04951201
553,699429.124589904,6115207.04951201
554,710784.824278876,6115207.04951201
555,722140.523967849,6115207.04951201
556,733496.223656821,6115207.04951201
557,744851.923345794,6115207.04951201
558,756207.623034766,6115207.04951201
559,767563.322723739,6115207.04951201
560,778919.022412711,6115207.04951201
561,790274.722101684,6115207.04951201
562,801630.421790656,6115207.04951201
563,812986.121479629,6115207.04951201
564,824341.821168602,6115207.04951201
565,835697.520857574,6115207.04951201
566,847053.220546547,6115207.04951201
567,858408.920235519,6115207.04951201
568,869764.619924492,6115207.04951201
569,881120.319613464,6115207.04951201
570,892476.019302437,6115207.04951201
571,903831.718991409,6115207.04951201
572,915187.418680382,6115207.04951201
573,926543.118369354,6115207.04951201
574,937898.818058327,6115207.04951201
575,949254.517747299,6115207.04951201
576,960610.217436272,6115207.04951201
577,971965.917125244,6115207.04951201
578,983321.616814217,6115207.04951201
579,994677.316503189,6115207.04951201
