interval,interval_min,interval_max,type_betail,nb
"86000,88000",86000,88000,total_caprins,0
"86000,88000",86000,88000,total_equides,0
"86000,88000",86000,88000,total_ovins,0
"86000,88000",86000,88000,total_population,3.0736228518851
"86000,88000",86000,88000,total_porcins,0
"88000,90000",88000,90000,total_bovins,0
"88000,90000",88000,90000,total_caprins,0
"88000,90000",88000,90000,total_equides,0
"88000,90000",88000,90000,total_ovins,0
"88000,90000",88000,90000,total_population,3.47906633053012
"88000,90000",88000,90000,total_porcins,0
"90000,92000",90000,92000,total_bovins,0
"90000,92000",90000,92000,total_caprins,0
"90000,92000",90000,92000,total_equides,0
"90000,92000",90000,92000,total_ovins,0
"90000,92000",90000,92000,total_population,2.82567513790706
"90000,92000",90000,92000,total_porcins,0
"92000,94000",92000,94000,total_bovins,0
"92000,94000",92000,94000,total_caprins,0
"92000,94000",92000,94000,total_equides,0
"92000,94000",92000,94000,total_ovins,0
"92000,94000",92000,94000,total_population,2.6914621470543
"92000,94000",92000,94000,total_porcins,0
"94000,96000",94000,96000,total_bovins,0
"94000,96000",94000,96000,total_caprins,0
"94000,96000",94000,96000,total_equides,0
"94000,96000",94000,96000,total_ovins,0
"94000,96000",94000,96000,total_population,2.58020678225372
"94000,96000",94000,96000,total_porcins,0
"96000,98000",96000,98000,total_bovins,0
"96000,98000",96000,98000,total_caprins,0
"96000,98000",96000,98000,total_equides,0
"96000,98000",96000,98000,total_ovins,0
"96000,98000",96000,98000,total_population,2.50041874900926
"96000,98000",96000,98000,total_porcins,0
"98000,1e+05",98000,100000,total_bovins,0
"98000,1e+05",98000,100000,total_caprins,0
"98000,1e+05",98000,100000,total_equides,0
"98000,1e+05",98000,100000,total_ovins,0
"98000,1e+05",98000,100000,total_population,2.12349035521122
"98000,1e+05",98000,100000,total_porcins,0
"1e+05,1.02e+05",100000,102000,total_bovins,0
"1e+05,1.02e+05",100000,102000,total_caprins,0
"1e+05,1.02e+05",100000,102000,total_equides,0
"1e+05,1.02e+05",100000,102000,total_ovins,0
"1e+05,1.02e+05",100000,102000,total_population,2.08077998720012
"1e+05,1.02e+05",100000,102000,total_porcins,0
