id,id_c,x,y,pct_cloud,date_MM,NAME_FR,ADM0_A3,POP_MAX,RANK_MAX,continent,admin,region_un,region_wb,subregion,name_fr
528280,1180,3,36.75,0.38239225505315,AN,Alger,DZA,3354000,12,Africa,Algeria,Africa,Middle East & North Africa,Northern Africa,AlgÈrie
784177,1181,91.75,22.25,0.504665497422331,AN,Chittagong,BGD,4529000,12,Asia,Bangladesh,Asia,South Asia,Southern Asia,Bangladesh
853176,1182,115.75,-32,0.37460489652938,AN,Perth,AUS,1532000,12,Oceania,Australia,Oceania,East Asia & Pacific,Australia and New Zealand,Australie
797133,1183,96.25,16.75,0.585868727429911,AN,Rangoun,MMR,4088000,12,Asia,Myanmar,Asia,East Asia & Pacific,South-Eastern Asia,Birmanie
166342,1184,-122.5,37.75,0.505022692748092,AN,San Francisco,USA,3450000,12,North America,United States of America,Americas,North America,Northern America,…tats-Unis
216820,1185,-105,39.75,0.42567872261685,AN,Denver,USA,2313000,12,North America,United States of America,Americas,North America,Northern America,…tats-Unis
244899,1186,-95.25,29.75,0.540664276221033,AN,Houston,USA,4459000,12,North America,United States of America,Americas,North America,Northern America,…tats-Unis
288143,1187,-80.25,25.75,0.533571944318035,AN,Miami,USA,5585000,13,North America,United States of America,Americas,North America,Northern America,…tats-Unis
276639,1188,-84.25,33.75,0.545825272911426,AN,Atlanta,USA,4506000,12,North America,United States of America,Americas,North America,Northern America,…tats-Unis
266577,1189,-87.75,41.75,0.598174537108703,AN,Chicago,USA,8990000,13,North America,United States of America,Americas,North America,Northern America,…tats-Unis
326295,1190,-67,10.5,0.703628201489196,AN,Caracas,VEN,2985000,12,South America,Venezuela,Americas,Latin America & Caribbean,South America,Venezuela
607645,1191,30.5,50.5,0.65476996372595,AN,Kiev,UKR,2709000,12,Europe,Ukraine,Europe,Europe & Central Asia,Eastern Europe,Ukraine
678923,1192,55.25,25.25,0.170845963761112,AN,Duba√Ø,ARE,1379000,12,Asia,United Arab Emirates,Asia,Middle East & North Africa,Western Asia,…mirats arabes unis
719363,1193,69.25,41.25,0.41704305775012,AN,Tachkent,UZB,2184000,12,Asia,Uzbekistan,Asia,Europe & Central Asia,Central Asia,OuzbÈkistan
508828,1194,-3.75,40.5,0.423925407400185,AN,Madrid,ESP,5567000,13,Europe,Spain,Europe,Europe & Central Asia,Southern Europe,Espagne
537691,1195,6.25,46.25,0.606534445376107,AN,Gen√®ve,CHE,1240000,12,Europe,Switzerland,Europe,Europe & Central Asia,Western Europe,Suisse
571630,1196,18,59.25,0.660192150961269,AN,Stockholm,SWE,1264000,12,Europe,Sweden,Europe,Europe & Central Asia,Northern Europe,SuËde
809378,1197,100.5,13.75,0.670415134761821,AN,Bangkok,THA,6704000,13,Asia,Thailand,Asia,East Asia & Pacific,South-Eastern Asia,ThaÔlande
297365,1198,-77,-12,0.713857196610082,AN,Lima,PER,8012000,13,South America,Peru,Americas,Latin America & Caribbean,South America,PÈrou
469070,1199,-17.5,14.75,0.442745852368799,AN,Dakar,SEN,2604000,12,Africa,Senegal,Africa,Sub-Saharan Africa,Western Africa,SÈnÈgal
600128,1200,28,-26.25,0.35071333331959,AN,Johannesbourg,ZAF,3435000,12,Africa,South Africa,Africa,Sub-Saharan Africa,Southern Africa,Afrique du Sud
534110,1201,5,52.25,0.678385598641454,AN,Amsterdam,NLD,1031000,12,Europe,Netherlands,Europe,Europe & Central Asia,Western Europe,Pays-Bas
497985,1202,-7.5,33.5,0.408081062702519,AN,Casablanca,MAR,3181000,12,Africa,Morocco,Africa,Middle East & North Africa,Northern Africa,Maroc
885899,1203,127,37.5,0.541754008807016,AN,S√©oul,KOR,9796000,13,Asia,South Korea,Asia,East Asia & Pacific,Eastern Asia,CorÈe du Sud
868503,1204,121,14.5,0.665147558306203,AN,Manille,PHL,11100000,14,Asia,Philippines,Asia,East Asia & Pacific,South-Eastern Asia,Philippines
230463,1205,-100.25,25.75,0.438294158317149,AN,Monterrey,MEX,3712000,12,North America,Mexico,Americas,Latin America & Caribbean,Central America,Mexique
558625,1206,13.5,52.5,0.672894746742465,AN,Berlin,DEU,3406000,12,Europe,Germany,Europe,Europe & Central Asia,Western Europe,Allemagne
