nom,pipe,saisonepisode,lieu_date,video,url,date,lieu_1,lieu_2,lieu_3,lieu_4,lieu_5,lieu_6,lieu_7,lieu_8,lieu_9,lieu_10,lieu_11
"Francis Heaulme, le routard du crime",Pipe d'argent - bon épisode,saison 4 épisode 6,"Lieux : Charleville-Mézières (08), Le Relecq-Kerhuon (29), Villers-Allerand (51), Montauville (54), Metz(57), Montigny-lès-Metz (57), Ogy (57), Boulogne-sur-Mer (62), Port Grimaud (83)

Début de l'affaire : 1984",https://www.youtube.com/embed/udPyhd4qCvo?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/19/francis-heaulme-le-routard-du-crime, 1984,Charleville-Mézières (08), Le Relecq-Kerhuon (29), Villers-Allerand (51), Montauville (54), Metz(57), Montigny-lès-Metz (57), Ogy (57), Boulogne-sur-Mer (62)," Port Grimaud (83)

",,
La disparition d'Agnès Le Roux,Pipe d'argent - bon épisode,saison 4 épisode 7,"Lieu : Nice (06)

Début de l'affaire : 1977",https://www.youtube.com/embed/VfnUG37ZhBw?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/20/la-disparition-dagnes-le-roux, 1977,"Nice (06)

",,,,,,,,,,
"Thierry Paulin, le tueur de vieilles dames",Pipe d'argent - bon épisode,saison 4 épisode 8,"Lieu : Paris (75)

Début de l'affaire : 1984",https://www.youtube.com/embed/jznhQj5UByk?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/21/thierry-paulin-le-tueur-de-vieilles-dames, 1984,"Paris (75)

",,,,,,,,,,
"Alexi, la tuerie de Louveciennes",Pipe d'or - très bon épisode,saison 4 épisode 9,"Lieu : Louveciennes (78)

Début de l'affaire : 1995",https://www.youtube.com/embed/iUp8sj5fIY4?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/22/alexi-la-tuerie-de-louveciennes, 1995,"Louveciennes (78)

",,,,,,,,,,
"Human Bomb, prise d'otages à la maternelle",Pipe d'argent - bon épisode,saison 4 épisode 10,"Lieu : Neuilly-sur-Seine (92)

Début de l'affaire : 1993",https://www.youtube.com/embed/6fFDQye16w4?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/23/human-bomb-prise-dotages-a-la-maternelle, 1993,"Neuilly-sur-Seine (92)

",,,,,,,,,,
"Roberto Succo, Succo le fou",Pipe de diamant - excellent épisode,saison 4 épisode 11,"Lieux : Château-Arnoux-Saint-Auban (04), Pugny-Chatenod (73), Tresserve (73), Menthon Saint-Bernard (74), La Seyne-sur-Mer (83), Toulon (83), Italie, Suisse

Début de l'affaire : 1987",https://www.youtube.com/embed/bPNPFkhf-sE?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/24/roberto-succo-succo-le-fou, 1987,Château-Arnoux-Saint-Auban (04), Pugny-Chatenod (73), Tresserve (73), Menthon Saint-Bernard (74), La Seyne-sur-Mer (83), Toulon (83), Italie," Suisse

",,,
"Albert Spaggiari, le casse du siècle",Pipe d'argent - bon épisode,saison 4 épisode 12,"Lieu : Nice (06)

Début de l'affaire : 1976",https://www.youtube.com/embed/yCkJE6_BgFM?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/25/albert-spaggiari-le-casse-du-siecle, 1976,"Nice (06)

",,,,,,,,,,
"Guy Georges, le tueur de l'Est parisien",Pipe de diamant - excellent épisode,saison 4 épisode 13,"Lieu : Paris (75)

Début de l'affaire : 1991",https://www.youtube.com/embed/6QAn3-iC_QE?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/26/guy-georges-le-tueur-de-lest-parisien, 1991,"Paris (75)

",,,,,,,,,,
"Action directe, l'assassinat de Georges Besse",Pipe de bronze - épisode moyen,saison 5 épisode 1,"Lieu : Paris (75)

Début de l'affaire : 1986",,affaire/27/action-directe-lassassinat-de-georges-besse, 1986,"Paris (75)

",,,,,,,,,,
"Marcel Barbeault, le tueur de l'ombre",Pipe de diamant - excellent épisode,saison 5 épisode 2,"Lieux : Laigneville (60), Nogent-sur-Oise (60), Villers-Saint-Paul (60)

Début de l'affaire : 1969",https://www.youtube.com/embed/sfB6Spo4wiI?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/28/marcel-barbeault-le-tueur-de-lombre, 1969,Laigneville (60), Nogent-sur-Oise (60)," Villers-Saint-Paul (60)

",,,,,,,,
Les postiches,Pipe d'argent - bon épisode,saison 5 épisode 3,"Lieu : Paris (75)

Début de l'affaire : 1981",https://www.youtube.com/embed/deOIMGbxh5o?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/29/les-postiches, 1981,"Paris (75)

",,,,,,,,,,
